2022-09-10/12:16,50		 Start of validation of files for training!!
2022-09-10/12:13,14		 Start of validation of files for training!!
2022-09-10/12:13,15		Raw Data Validation Complete!!
2022-09-10/12:13,15		Raw Data Transformation Started!!!
2022-09-10/12:13,16		Raw Data Transformation Completed!!
2022-09-10/12:13,16		Creating Training_Database and tables on the basis of given schema!
2022-09-10/12:29,34		 Start of validation of files for training!!
2022-09-10/12:29,34		Raw Data Validation Complete!!
2022-09-10/12:29,34		Raw Data Transformation Started!!!
2022-09-10/12:29,35		Raw Data Transformation Completed!!
2022-09-10/12:29,35		Creating Training_Database and tables on the basis of given schema!
2022-09-10/12:29,53		Table creation Completed!!
2022-09-10/12:29,53		Insertion of Data into Table started!!!!
2022-09-10/12:35,25		Insertion in Table completed!!!
2022-09-10/12:35,25		Deleting Good Data Folder!!!
2022-09-10/12:35,26		Good_Data folder deleted!!!
2022-09-10/12:35,26		Moving bad files to Archive and deleting Bad_Data folder!!!
2022-09-10/12:35,26		Bad files moved to archive!! Bad folder Deleted!!
2022-09-10/12:35,26		Validation Operation completed!!
2022-09-10/12:35,26		Extracting csv file from table
2022-09-10/12:35,41		Extraction of table data to csv file is finished. 
